Empreendimento;UF;Torre;Unidade;Status da Unidade;Valor Unidade/Lote;Andar;Tipologia
RESERVA DOS COLIBRIS;PB;BLOCO A;00301;Disponível;R$ 231.600,00;003;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00701;Disponível;R$ 246.658,00;007;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01101;Disponível;R$ 247.342,00;011;2 DORM C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01501;Disponível;R$ 268.812,00;015;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00206;Disponível;R$ 264.426,00;002;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00212;Disponível;R$ 240.606,00;002;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00705;Disponível;R$ 271.172,00;007;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00412;Disponível;R$ 243.026,00;004;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00906;Disponível;R$ 273.870,00;009;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01105;Disponível;R$ 276.568,00;011;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00612;Disponível;R$ 245.448,00;006;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00702;Disponível;R$ 246.658,00;007;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01406;Disponível;R$ 277.786,00;014;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00812;Disponível;R$ 247.868,00;008;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00902;Disponível;R$ 249.078,00;009;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00409;Disponível;R$ 267.124,00;004;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01510;Disponível;R$ 268.812,00;015;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00007;Disponível;R$ 228.504,00;000;2 DORM REV PNE S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00407;Disponível;R$ 267.124,00;004;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00807;Disponível;R$ 272.522,00;008;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01207;Disponível;R$ 275.022,00;012;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01308;Disponível;R$ 276.404,00;013;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01607;Disponível;R$ 287.610,00;016;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00004;Disponível;R$ 228.504,00;000;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00102;Disponível;R$ 239.396,00;001;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00204;Disponível;R$ 264.426,00;002;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00202;Disponível;R$ 240.606,00;002;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00404;Disponível;R$ 267.124,00;004;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00302;Disponível;R$ 241.816,00;003;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00312;Disponível;R$ 241.816,00;003;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00402;Disponível;R$ 243.026,00;004;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00905;Disponível;R$ 273.870,00;009;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00512;Disponível;R$ 244.236,00;005;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01106;Disponível;R$ 276.568,00;011;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01305;Disponível;R$ 276.404,00;013;2 DORM C/ VAR C/ VG MOT - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00712;Disponível;R$ 246.658,00;007;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00802;Disponível;R$ 247.868,00;008;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01706;Disponível;R$ 289.042,00;017;2 DORM C/ VAR C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00110;Disponível;R$ 239.396,00;001;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00209;Disponível;R$ 264.426,00;002;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00309;Disponível;R$ 265.776,00;003;2 DORM C/ VAR S/ VG - MCMV FX2
